Game Title,Red1,Red2,Red3,Red4,Red5,Red6,Red7,Red8,Red9,Red10,Red11,Red12,Red13,Red14,Red15,Red16,Red17,Red18,Red19,Black1,Black2,Black3,Black4,Black5,Black6,Black7,Black8,Black9,Black10,Black11,Black12,Black13,Black14,Black15,Black16,Black17,Black18,Black19,Odd1,Odd2,Odd3,Odd4,Odd5,Odd6,Odd7,Odd8,Odd9,Odd10,Odd11,Odd12,Odd13,Odd14,Odd15,Odd16,Odd17,Odd18,Odd19,Parity1,Parity2,Parity3,Parity4,Parity5,Parity6,Parity7,Parity8,Parity9,Parity10,Parity11,Parity12,Parity13,Parity14,Parity15,Parity16,Parity17,Parity18,Parity19,Low1,Low2,Low3,Low4,Low5,Low6,Low7,Low8,Low9,Low10,Low11,Low12,Low13,Low14,Low15,Low16,Low17,Low18,Low19,High1,High2,High3,High4,High5,High6,High7,High8,High9,High10,High11,High12,High13,High14,High15,High16,High17,High18,High19
Age_Of_The_Gods_Bonus_Roulette,21,10,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,20,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American_Roulette,26,16,8,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,35,14,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,14,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto_Roulette,22,15,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,12,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,4,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,8,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,12,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
bet365_Dutch_Roulette,31,13,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,33,19,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,7,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,13,8,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
bet365_Roulette,31,14,10,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36,13,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,8,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,32,15,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,15,6,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,20,8,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Deutsches_Roulette,28,16,6,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,33,17,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,12,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,9,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,32,15,9,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Football_French_Roulette,25,16,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,18,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Football_Roulette,29,15,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,19,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
French_Roulette,42,13,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,41,14,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,8,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,30,19,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,9,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,31,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greek_Quantum_Roulette,21,13,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,31,7,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,14,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,8,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,10,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
